name,address,borough,state,zip,cell,picks up,type,url
Goodwill Industries of Greater New York & Northern New Jersey,103 West 25th Street ,Manhattan,New York,10001,(718) 728-5400,1,Books,http://goodwillnynj.org
The Salvation Army Of Greater New York,112 Fourth Avenue ,Manhattan,New York,10003,(800) 728-7825,1,Books,http://ny.salvationarmy.org/GreaterNewYork
Angel Street Thrift Shop,118 West 17th Street ,Manhattan,New York,10011,(212) 229-0546,0,Books,http://www.angelstreetthrift.org
Housing Works,119 Chambers Street ,Manhattan,New York,10007,(347) 473-7400,1,Books,http://housingworks.org
Hour Children,12-02 36th Avenue ,Queens,New York,11106,(718) 433-4724,0,Books,http://hourchildren.org/?page_id=136
Hour Children,12-10 36th Avenue ,Queens,New York,11106,(718) 433-4724,0,Books,http://hourchildren.org/?page_id=136
The Salvation Army Of Greater New York,120 West 14th Street ,Manhattan,New York,10011,(800) 728-7825,1,Books,http://ny.salvationarmy.org/GreaterNewYork
Housing Works,126 Crosby Street ,Manhattan,New York,10012,(347) 473-7400,1,Books,http://housingworks.org
Housing Works,143 W. 17th Street ,Manhattan,New York,10011,(347) 473-7400,1,Books,http://housingworks.org
Arthritis Foundation Thrift,1430 Third Ave ,Manhattan,New York,10028,(212) 772-8816,0,Books,http://www.arthritis.org/new-york/about-us/arthritis-foundation-thrift-shop.php
The Salvation Army Of Greater New York,148-15 Archer Avenue ,Queens,New York,11435,(800) 728-7825,1,Books,http://ny.salvationarmy.org/GreaterNewYork
CancerCare Thrift Shop,1480 Third Avenue ,Manhattan,New York,10028,(212) 879-9868,0,Books,http://www.cancercare.org/support_us/thrift_shop
Housing Works,157 East 23rd Street ,Manhattan,New York,10010,(347) 473-7400,1,Books,http://housingworks.org
Goodwill Industries of Greater New York & Northern New Jersey,157 West 72nd Street ,Manhattan,New York,10023,(718) 728-5400,1,Books,http://goodwillnynj.org
Unique Boutique,1674 3rd Avenue ,Manhattan,New York,10128,(212) 427-0077,0,Books,
Human Head,168 Johnson Ave ,Brooklyn,New York,11206,(347) 987-3362,0,Books,http://humanheadnyc.com
Goodwill Industries of Greater New York & Northern New Jersey,1704 Second Avenue ,Manhattan,New York,10128,(718) 728-5400,1,Books,http://goodwillnynj.org
Housing Works,1730 2nd Avenue ,Manhattan,New York,10128,(347) 473-7400,1,Books,http://housingworks.org
The Salvation Army Of Greater New York,176 Bedford Avenue ,Brooklyn,New York,11249,(800) 728-7825,1,Books,http://ny.salvationarmy.org/GreaterNewYork
East Village Thrift Shop,186 2nd Avenue ,Manhattan,New York,10003,(212) 375-8585,0,Books,
Grassroots Artists MovEment (G.A.ME),1958 Fulton Street 400 ,Brooklyn,New York,11233,(718) 618-0533,1,Books,http://www.gamenyc.com
Housing Works,202 E. 77th Street ,Manhattan,New York,10075,(347) 473-7400,1,Books,http://housingworks.org
The Salvation Army Of Greater New York,208 E 23rd Street ,Manhattan,New York,10010,(800) 728-7825,1,Books,http://ny.salvationarmy.org/GreaterNewYork
The Salvation Army Of Greater New York,208 Eighth Avenue ,Manhattan,New York,10011,(800) 728-7825,1,Books,http://ny.salvationarmy.org/GreaterNewYork
Goodwill Industries of Greater New York & Northern New Jersey,217 West 79th Street ,Manhattan,New York,10024,(718) 728-5400,1,Books,http://goodwillnynj.org
"Spoonbill & Sugartown, Booksellers",218 Bedford Avenue ,Brooklyn,New York,11249,(718) 387-7322,0,Books,http://www.spoonbillbooks.com
Goodwill Industries of Greater New York & Northern New Jersey,220 East 23rd Street ,Manhattan,New York,10010,(718) 728-5400,1,Books,http://goodwillnynj.org
City Opera Thrift Shop,222 East 23rd Street ,Manhattan,New York,10010,(212) 684-5344,1,Books,http://www.cityoperathriftshop.org
YA-YA Network,224 W 29th 14th ,Manhattan,New York,10001,(212) 239-0022,1,Books,http://www.yayanetwork.org/
Bowery Mission,227 Bowery ,Manhattan,New York,10002,(212) 674-3456,0,Books,http://bowery.org/donate
Housing Works,245 W. 10th Street ,Manhattan,New York,10014,(347) 473-7400,1,Books,http://housingworks.org
Council Thrift Shop,246 East 84th Street ,Manhattan,New York,10028,(212) 439-8373,0,Books,https://www.ncjwny.org/thrift-shop/
Hour Children,25-22 34th Avenue ,Queens,New York,11106,(718) 433-4724,0,Books,http://hourchildren.org/?page_id=136
