name,address,type,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,borough,zip,cell,picks up,url
Goodwill Industries of Greater New York & Northern New Jersey,103 West 25th Street,Electronics,"0900,2100","0900,2100","0900,2100","0900,2100","0900,2100","0900,2100","1000,2000",Manhattan,10001,(718) 728-5400,1,http://goodwillnynj.org
Goodwill Industries of Greater New York & Northern New Jersey,103 West 25th Street ,Books,"0900,2100","0900,2100","0900,2100","0900,2100","0900,2100","0900,2100","1000,2000",Manhattan,10001,(718) 728-5400,1,http://goodwillnynj.org
Council of Peoples Organization (COPO),1081 Coney Island Ave,Books,"0830,1730","0830,1730","0830,1730","0830,1730","0830,1730",closed,closed,Brooklyn,11230,(718) 434-3266,0,http://www.copo.org/
Council of Peoples Organization (COPO),1081 Coney Island Ave ,Electronics,"0830,1730","0830,1730","0830,1730","0830,1730","0830,1730",closed,closed,Brooklyn,11230,(718) 434-3266,0,http://www.copo.org/
Council of Peoples Organization (COPO),1081 Coney Island Ave ,Glass,"0830,1730","0830,1730","0830,1730","0830,1730","0830,1730",closed,closed,Brooklyn,11230,(718) 434-3266,0,http://www.copo.org/
Council of Peoples Organization (COPO),1081 Coney Island Ave ,Paper & Cardboard,"0830,1730","0830,1730","0830,1730","0830,1730","0830,1730",closed,closed,Brooklyn,11230,(718) 434-3266,0,http://www.copo.org/
Metro World Child,11 Harman Street ,Electronics,"0930,1700","0900,1630","0930,1700","0930,1700","0900,1630","0900,1700",closed,Brooklyn,11221,(718) 453-3352,0,http://www.metroworldchild.org
WPA,110 Second Avenue,Electronics,"0900,1700","0900,1700","0900,1700","0900,1700","0900,1700","0900,1700","0900,1700",Manhattan,10003,(646) 292-7740,0,
The Salvation Army Of Greater New York,112 Fourth Avenue ,Books,"0900,1730","0900,1730","0900,1730","0900,1730","0900,1730","0900,1730",closed,Manhattan,10003,(800) 728-7825,1,http://ny.salvationarmy.org/GreaterNewYork
The Salvation Army Of Greater New York,112 Fourth Avenue ,Electronics,"0900,1730","0900,1730","0900,1730","0900,1730","0900,1730","0900,1730",closed,Manhattan,10003,(800) 728-7825,1,http://ny.salvationarmy.org/GreaterNewYork
Reuse America,1158 Flatbush Avenue ,Electronics,closed,"1130,1900","1130,1900","1130,1900","1100,1700",closed,"1200,1900",Brooklyn,11226,(718) 807-6529,1,https://reuseamericany.wordpress.com
Angel Street Thrift Shop,118 West 17th Street ,Books,"1100,1900","1100,1900","1100,1900","1100,1900","1100,1900","1000,1900","1200,1700",Manhattan,10011,(212) 229-0546,0,http://www.angelstreetthrift.org
Housing Works,119 Chambers Street ,Books,"1100,1900","1100,1900","1100,1900","1100,1900","1100,1900","1100,1900","1100,1700",Manhattan,10007,(347) 473-7400,1,http://housingworks.org
Hour Children,12-02 36th Avenue ,Books,"1000,1900","1000,1900","1000,1900","1000,1900","1000,1900","1000,1900","1100,1900",Queens,11106,(718) 433-4724,0,http://hourchildren.org/?page_id=136
Hour Children,12-10 36th Avenue ,Books,"1000,1900","1000,1900","1000,1900","1000,1900","1000,1900","1000,1900","1100,1900",Queens,11106,(718) 433-4724,0,http://hourchildren.org/?page_id=136
The Salvation Army Of Greater New York,120 West 14th Street,Electronics,"0900,1730","0900,1730","0900,1730","0900,1730","0900,1730","0900,1730",closed,Manhattan,10011,(800) 728-7825,1,http://ny.salvationarmy.org/GreaterNewYork
The Salvation Army Of Greater New York,120 West 14th Street ,Books,,,,,,,,Manhattan,10011,(800) 728-7825,1,http://ny.salvationarmy.org/GreaterNewYork
Housing Works,122 Montague Street ,Books,,,,,,,,Brooklyn,11201,(347) 473-7400,1,http://housingworks.org
Rebuilding Together NYC,126 10th Street ,Glass,,,,,,,,Brooklyn,11215,(718) 488-8840,0,http://www.rebuildingtogethernyc.org
Housing Works,126 Crosby Street ,Books,,,,,,,,Manhattan,10012,(347) 473-7400,1,http://housingworks.org
